running
packageJobJar: [union.sh, env.sh] [/home/wdmlink/dingrui01/hadoop_folder/hadoop-client-bailing/hadoop/contrib/streaming/hadoop-2-streaming.jar] /tmp/streamjob61159.jar tmpDir=null
13/12/10 16:45:45 INFO util.NativeCodeLoader: Loaded the native-hadoop library
13/12/10 16:45:45 INFO compress.LzoCodec: Successfully loaded & initialized native-lzo library
13/12/10 16:45:45 INFO compress.LzmaCodec: Successfully loaded & initialized native-lzma library
13/12/10 16:45:45 INFO compress.QuickLzCodec: Successfully loaded & initialized native-quicklz library
13/12/10 16:46:04 INFO mapred.FileInputFormat: Total input paths to process : 56000
13/12/10 17:01:52 INFO mapred.JobClient: splits size : 289026
13/12/10 17:01:53 INFO mapred.JobClient: Running job: job_201303151821_3381090
13/12/10 17:01:53 INFO mapred.JobClient: To kill this job, run:
13/12/10 17:01:53 INFO mapred.JobClient: /home/wdmlink/dingrui01/hadoop_folder/hadoop-client-bailing/hadoop/bin/../bin/hadoop job -Dmapred.job.tracker=nj01-rp-job.dmop.baidu.com:54311 -kill job_201303151821_3381090
13/12/10 17:01:53 INFO mapred.JobClient: Tracking URL: http://nj01-rp-job.dmop.baidu.com:8030/jobdetails.jsp?jobid=job_201303151821_3381090
13/12/10 17:01:55 INFO mapred.JobClient:  map 0% reduce 0%
13/12/10 17:31:24 INFO mapred.JobClient:  map 1% reduce 0%
13/12/10 17:35:04 INFO mapred.JobClient:  map 2% reduce 0%
13/12/10 17:38:50 INFO mapred.JobClient:  map 3% reduce 0%
13/12/10 17:42:31 INFO mapred.JobClient:  map 4% reduce 0%
13/12/10 17:48:36 INFO mapred.JobClient:  map 5% reduce 0%
13/12/10 17:51:21 INFO mapred.JobClient:  map 6% reduce 0%
13/12/10 17:54:37 INFO mapred.JobClient:  map 7% reduce 0%
13/12/10 17:57:51 INFO mapred.JobClient:  map 8% reduce 0%
13/12/10 18:01:01 INFO mapred.JobClient:  map 9% reduce 0%
13/12/10 18:04:12 INFO mapred.JobClient:  map 10% reduce 0%
13/12/10 18:07:25 INFO mapred.JobClient:  map 11% reduce 0%
13/12/10 18:10:33 INFO mapred.JobClient:  map 12% reduce 0%
13/12/10 18:13:47 INFO mapred.JobClient:  map 13% reduce 0%
13/12/10 18:17:03 INFO mapred.JobClient:  map 14% reduce 0%
13/12/10 18:20:16 INFO mapred.JobClient:  map 15% reduce 0%
13/12/10 18:23:45 INFO mapred.JobClient:  map 16% reduce 0%
13/12/10 18:27:56 INFO mapred.JobClient:  map 17% reduce 0%
13/12/10 18:33:01 INFO mapred.JobClient:  map 18% reduce 0%
13/12/10 18:38:11 INFO mapred.JobClient:  map 19% reduce 0%
13/12/10 18:42:43 INFO mapred.JobClient:  map 20% reduce 0%
13/12/10 18:47:10 INFO mapred.JobClient:  map 21% reduce 0%
13/12/10 18:51:52 INFO mapred.JobClient:  map 22% reduce 0%
13/12/10 18:56:22 INFO mapred.JobClient:  map 23% reduce 0%
13/12/10 19:01:16 INFO mapred.JobClient:  map 24% reduce 0%
13/12/10 19:05:47 INFO mapred.JobClient:  map 25% reduce 0%
13/12/10 19:10:07 INFO mapred.JobClient:  map 26% reduce 0%
13/12/10 19:14:31 INFO mapred.JobClient:  map 27% reduce 0%
13/12/10 19:18:49 INFO mapred.JobClient:  map 28% reduce 0%
13/12/10 19:23:12 INFO mapred.JobClient:  map 29% reduce 0%
13/12/10 19:27:25 INFO mapred.JobClient:  map 30% reduce 0%
13/12/10 19:31:26 INFO mapred.JobClient:  map 31% reduce 0%
13/12/10 19:35:30 INFO mapred.JobClient:  map 32% reduce 0%
13/12/10 19:39:55 INFO mapred.JobClient:  map 33% reduce 0%
13/12/10 19:45:44 INFO mapred.JobClient:  map 34% reduce 0%
